seed_code,walk_score
8405220,58
8405328,62
8405425,93
8405522,92
8411921,62
8405727,86
8410429,65
8420122,68
8411123,53
8405921,71
8406022,54
8406324,60
8406529,56
8406626,69
8406820,81
8406928,42
8407428,48
8407622,72
8407827,54
8459622,51
8455023,56
8400024,65
8408025,41
8455325,13
8455422,46
8410321,50
8410526,56
8410623,46
8414327,46
8449120,76
8411026,48
8416621,66
8411328,62
8416222,43
8411425,77
8446628,46
8411727,56
8411824,70
8412022,60
8412227,44
8412421,71
8412529,65
8412723,53
8456321,50
8412820,64
8432627,5
8444323,72
8412928,60
8413029,66
8413223,68
1001507,72
8413525,57
8413622,52
8413827,77
8414122,73
8414521,64
8414629,64
8422621,49
8470332,68
8414823,51
8414920,56
8415129,55
8415226,50
8449325,83
8415420,59
8416028,73
8416125,50
8416524,48
8431221,72
8416729,66
8416923,52
8417024,60
8456526,32
8417520,32
8417628,69
8400121,54
8423822,55
8417822,54
8418020,68
8418225,46
8446822,53
8410020,60
8418721,82
8418829,84
8418926,68
8400229,60
8419221,76
8419426,72
8445028,67
8428220,58
8428328,60
8428522,61
8428824,56
8428921,69
8429227,57
8419825,64
8419922,37
8420025,46
8420327,62
8448825,52
8420424,70
8420629,63
8420726,56
8420823,48
8420920,44
8446725,32
8421129,57
8421226,71
8455120,35
8421323,76
8421420,49
8421528,36
8427429,49
8420521,67
8422125,47
8422222,70
8422729,44
8422826,79
8449929,33
8422923,66
8423121,58
8423229,69
8455627,45
8423725,68
8424225,76
8425426,60
8424721,71
8424829,51
8425124,62
8425221,67
8425329,34
8425523,45
8420220,53
8425620,71
8425728,44
8425825,65
8425922,48
8426023,42
8432325,48
8426422,65
8426821,68
8426929,51
8427127,59
8427623,84
8427720,68
8427925,47
8428026,48
8428123,62
8429529,78
8429820,52
8457824,47
8430225,51
8430322,62
8448426,49
8430624,82
8430721,75
8415323,41
8430829,68
8430926,68
8447020,74
8431027,55
8431124,78
8431329,80
8431426,85
